epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.96245,0.68842,0.50725,1,0.73682,0.00011669,0.00011669,0.00011669
2,11.7377,0.37888,0.56522,1,1.10052,0.000245099,0.000245099,0.000245099
3,17.4254,0.11899,0.71014,1,0.8229,0.000368227,0.000368227,0.000368227
4,22.9442,0.04491,0.92754,1,0.32431,0.000486074,0.000486074,0.000486074
5,28.6189,0.04419,0.97101,1,0.1401,0.00059864,0.00059864,0.00059864
6,34.0989,0.05709,0.94203,1,0.10014,0.000705924,0.000705924,0.000705924
7,39.732,0.03503,0.95652,1,0.17431,0.000807928,0.000807928,0.000807928
8,44.9812,0.03492,0.88406,1,0.25703,0.000904651,0.000904651,0.000904651
9,50.5261,0.03369,0.49275,1,3.81396,0.000996093,0.000996093,0.000996093
10,56.1266,0.04884,0.73913,1,0.56782,0.00108225,0.00108225,0.00108225
11,61.6812,0.05986,0.94203,1,0.2313,0.00116313,0.00116313,0.00116313
12,67.3024,0.06334,0.88406,1,0.30417,0.00123873,0.00123873,0.00123873
13,72.8663,0.04935,0.78261,1,0.64844,0.00127092,0.00127092,0.00127092
14,78.269,0.03983,0.97101,1,0.07227,0.00123791,0.00123791,0.00123791
15,83.948,0.02862,0.98551,1,0.06753,0.00120491,0.00120491,0.00120491
16,89.5743,0.02191,0.98551,1,0.04627,0.0011719,0.0011719,0.0011719
17,95.0747,0.02665,0.94203,1,0.24047,0.00113889,0.00113889,0.00113889
18,100.533,0.02874,0.97101,1,0.09862,0.00110589,0.00110589,0.00110589
19,106.061,0.02074,0.91304,1,0.14462,0.00107288,0.00107288,0.00107288
20,111.754,0.02517,0.92754,1,0.15647,0.00103987,0.00103987,0.00103987
21,117.354,0.01764,0.63768,1,0.99764,0.00100687,0.00100687,0.00100687
22,123.035,0.01903,0.85507,1,0.4062,0.000973861,0.000973861,0.000973861
23,128.699,0.01686,0.97101,1,0.09194,0.000940855,0.000940855,0.000940855
24,134.372,0.01771,1,1,0.02236,0.000907848,0.000907848,0.000907848
25,139.983,0.01726,0.98551,1,0.02954,0.000874842,0.000874842,0.000874842
26,145.567,0.01768,0.98551,1,0.05402,0.000841835,0.000841835,0.000841835
27,151.291,0.01794,0.98551,1,0.06657,0.000808828,0.000808828,0.000808828
28,156.948,0.01888,0.98551,1,0.05663,0.000775822,0.000775822,0.000775822
29,162.421,0.01999,0.98551,1,0.0526,0.000742815,0.000742815,0.000742815
30,167.959,0.01653,0.98551,1,0.04053,0.000709809,0.000709809,0.000709809
31,173.596,0.01765,0.98551,1,0.04153,0.000676802,0.000676802,0.000676802
32,179.134,0.01662,0.97101,1,0.03898,0.000643795,0.000643795,0.000643795
33,184.704,0.01764,0.98551,1,0.04333,0.000610789,0.000610789,0.000610789
34,190.251,0.01789,0.98551,1,0.04285,0.000577782,0.000577782,0.000577782
35,195.76,0.01652,0.98551,1,0.04715,0.000544776,0.000544776,0.000544776
36,201.442,0.01921,0.98551,1,0.05043,0.000511769,0.000511769,0.000511769
37,207.185,0.01904,0.98551,1,0.04088,0.000478762,0.000478762,0.000478762
38,212.95,0.01623,0.98551,1,0.04525,0.000445756,0.000445756,0.000445756
39,218.648,0.01646,0.98551,1,0.04658,0.000412749,0.000412749,0.000412749
