
=======================================================
  MobileNetV2 + relu  (device=cuda)
=======================================================
  [relu] E01  tr=0.5765/0.685  vl=0.6505/0.565
  [relu] E02  tr=0.3725/0.853  vl=0.4908/0.696
  [relu] E03  tr=0.3185/0.876  vl=0.3284/0.899
  [relu] E04  tr=0.2816/0.901  vl=0.3683/0.855
  [relu] E05  tr=0.2401/0.903  vl=0.2573/0.899
  [relu] E06  tr=0.2518/0.905  vl=0.2398/0.928
  [relu] E07  tr=0.2696/0.903  vl=0.1853/0.928
  [relu] E08  tr=0.1885/0.934  vl=0.1852/0.942
  [relu] E09  tr=0.1901/0.936  vl=0.2048/0.942
  [relu] E10  tr=0.1940/0.913  vl=0.1957/0.928
  [relu] E11  tr=0.1854/0.930  vl=0.2337/0.913
  [relu] E12  tr=0.1687/0.944  vl=0.1936/0.942
  [relu] E13  tr=0.1635/0.940  vl=0.1668/0.942
  [relu] E14  tr=0.1664/0.942  vl=0.1610/0.957
  [relu] E15  tr=0.1702/0.928  vl=0.1514/0.957
  [relu] E16  tr=0.1346/0.952  vl=0.1769/0.942
  [relu] E17  tr=0.1400/0.944  vl=0.1670/0.942
  [relu] E18  tr=0.1424/0.948  vl=0.1678/0.942
  [relu] E19  tr=0.1588/0.952  vl=0.1682/0.928
  [relu] E20  tr=0.1390/0.952  vl=0.1395/0.957
  [relu] E21  tr=0.1424/0.946  vl=0.1394/0.957
  [relu] E22  tr=0.1467/0.942  vl=0.1690/0.971
  [relu] E23  tr=0.1171/0.967  vl=0.1504/0.971
  [relu] E24  tr=0.1207/0.961  vl=0.1600/0.957
  [relu] E25  tr=0.1275/0.959  vl=0.1381/0.957
  [relu] E26  tr=0.1304/0.957  vl=0.1599/0.957
  [relu] E27  tr=0.1387/0.952  vl=0.1458/0.971
  [relu] E28  tr=0.1364/0.946  vl=0.1418/0.957
  [relu] E29  tr=0.1254/0.961  vl=0.1510/0.942
  [relu] E30  tr=0.1143/0.957  vl=0.1454/0.957
  [relu] E31  tr=0.1304/0.957  vl=0.1287/0.957
  [relu] E32  tr=0.1182/0.959  vl=0.1568/0.942
  [relu] E33  tr=0.0909/0.969  vl=0.1693/0.928
  [relu] E34  tr=0.1237/0.959  vl=0.1461/0.942
  [relu] E35  tr=0.1096/0.967  vl=0.1339/0.971
  [relu] E36  tr=0.1066/0.971  vl=0.1344/0.957
  [relu] E37  tr=0.1217/0.950  vl=0.1453/0.942
