,precision,recall,f1-score,support
defect,0.953125,0.8840579710144928,0.9172932330827067,69.0
non_defect,0.8918918918918919,0.9565217391304348,0.9230769230769231,69.0
accuracy,0.9202898550724637,0.9202898550724637,0.9202898550724637,0.9202898550724637
macro avg,0.9225084459459459,0.9202898550724639,0.9201850780798149,138.0
weighted avg,0.9225084459459459,0.9202898550724637,0.9201850780798149,138.0
