,precision,recall,f1-score,support
defect,1.0,0.2463768115942029,0.3953488372093023,69.0
non_defect,0.5702479338842975,1.0,0.7263157894736842,69.0
accuracy,0.6231884057971014,0.6231884057971014,0.6231884057971014,0.6231884057971014
macro avg,0.7851239669421488,0.6231884057971014,0.5608323133414933,138.0
weighted avg,0.7851239669421488,0.6231884057971014,0.5608323133414933,138.0
