model_name,accuracy,precision,recall,f1,category,top1_acc,fitness
mobilenet_relu,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454545,MobileNetV2 (fine-tuned),,
mlp_random_search,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454545,MLP HParam Search,,
mobilenet_leaky_relu,0.9565217391304348,1.0,0.9130434782608695,0.9545454545454545,MobileNetV2 (fine-tuned),,
mobilenet_elu,0.9420289855072463,1.0,0.8840579710144928,0.9384615384615386,MobileNetV2 (fine-tuned),,
mobilenet_gelu,0.9347826086956522,1.0,0.8695652173913043,0.9302325581395349,MobileNetV2 (fine-tuned),,
mobilenet_gelu,0.9130434782608695,0.9384615384615385,0.8840579710144928,0.9104477611940298,MobileNetV2 (frozen),,
mobilenet_leaky_relu,0.8985507246376812,0.9824561403508771,0.8115942028985508,0.888888888888889,MobileNetV2 (frozen),,
mobilenet_relu,0.8985507246376812,0.9824561403508771,0.8115942028985508,0.888888888888889,MobileNetV2 (frozen),,
mobilenet_selu,0.8913043478260869,1.0,0.782608695652174,0.878048780487805,MobileNetV2 (fine-tuned),,
optim_adam,0.8405797101449275,0.8133333333333334,0.8840579710144928,0.8472222222222223,Optimiser Comparison,,
mobilenet_elu,0.855072463768116,0.9622641509433962,0.7391304347826086,0.8360655737704918,MobileNetV2 (frozen),,
mobilenet_selu,0.855072463768116,0.9622641509433962,0.7391304347826086,0.8360655737704918,MobileNetV2 (frozen),,
hog_svm,0.8478260869565217,0.9137931034482759,0.7681159420289855,0.8346456692913385,Sklearn Baseline,,
hog_mlp,0.8405797101449275,0.9272727272727272,0.7391304347826086,0.8225806451612904,Sklearn Baseline,,
optim_lbfgs,0.782608695652174,0.8095238095238095,0.7391304347826086,0.7727272727272727,Optimiser Comparison,,
optim_sgd,0.7463768115942029,0.7236842105263158,0.7971014492753623,0.7586206896551724,Optimiser Comparison,,
cnn_gelu,0.6811594202898551,0.6106194690265486,1.0,0.7582417582417582,CNN Scratch,,
cnn_leaky_relu,0.6159420289855072,0.5655737704918032,1.0,0.7225130890052355,CNN Scratch,,
cnn_relu,0.5507246376811594,0.5267175572519084,1.0,0.6900000000000001,CNN Scratch,,
cnn_selu,0.5362318840579711,0.518796992481203,1.0,0.6831683168316832,CNN Scratch,,
cnn_elu,0.5144927536231884,0.5073529411764706,1.0,0.673170731707317,CNN Scratch,,
optim_nelder_mead,0.4855072463768116,0.4915254237288136,0.8405797101449275,0.6203208556149732,Optimiser Comparison,,
yolo26n-cls.pt,0.9927536249160767,,,,YOLO (pretrained),0.9927536249160767,0.9963768124580383
