/home/ubu/Desktop/Assessment/defect_classification_stack/train_optimizer_comparison.py:168: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  epoch_loss += float(loss) * len(batch_idx)
Loading images and extracting HOG features...
HOG dims: 8100  -> PCA dims: 20  (MLP params: ~1217)

============================================================
  Optimiser: nelder_mead  (zero-order  | Nelder-Mead (derivative-free))
============================================================
  [Adam] Epoch 040  train=0.2886  val=0.5936
  [Adam] Epoch 041  train=0.2729  val=0.5926
  [Adam] Epoch 042  train=0.2676  val=0.5816
  [Adam] Epoch 043  train=0.2707  val=0.5750
  [Adam] Epoch 044  train=0.2618  val=0.6029
  [Adam] Epoch 045  train=0.2635  val=0.6175
  [Adam] Epoch 046  train=0.2618  val=0.5859
  [Adam] Epoch 047  train=0.2609  val=0.6118
  [Adam] Epoch 048  train=0.2520  val=0.6127
  [Adam] Epoch 049  train=0.2418  val=0.6125
  [Adam] Epoch 050  train=0.2397  val=0.6379

============================================================
  Optimiser: lbfgs  (second-order| L-BFGS (quasi-Newton))
============================================================
  [L-BFGS] Epoch 001  train=0.4415  val=0.6135
  [L-BFGS] Epoch 002  train=0.2513  val=0.5711
  [L-BFGS] Epoch 003  train=0.1664  val=0.7666
  [L-BFGS] Epoch 004  train=0.1007  val=0.9592
  [L-BFGS] Epoch 005  train=0.0644  val=1.1635
  [L-BFGS] Epoch 006  train=0.0334  val=1.8802
  [L-BFGS] Epoch 007  train=0.0221  val=2.6879
  [L-BFGS] Epoch 008  train=0.0195  val=2.9651
  [L-BFGS] Epoch 009  train=0.0184  val=3.3477
  [L-BFGS] Epoch 010  train=0.0177  val=3.9513
  [L-BFGS] Epoch 011  train=0.0175  val=4.4398
  [L-BFGS] Epoch 012  train=0.0174  val=4.8974
  [L-BFGS] Epoch 013  train=0.0173  val=4.9447
  [L-BFGS] Epoch 014  train=0.0173  val=5.4509
  [L-BFGS] Epoch 015  train=0.0173  val=5.9521
  [L-BFGS] Epoch 016  train=0.0173  val=6.1609
  [L-BFGS] Epoch 017  train=0.0172  val=6.2112
  [L-BFGS] Epoch 018  train=0.0172  val=6.3352
  [L-BFGS] Epoch 019  train=0.0172  val=6.6170
  [L-BFGS] Epoch 020  train=0.0172  val=6.6450
  [L-BFGS] Epoch 021  train=0.0172  val=6.6357
  [L-BFGS] Epoch 022  train=0.0172  val=6.6357
  [L-BFGS] Epoch 023  train=0.0172  val=6.6357
  [L-BFGS] Epoch 024  train=0.0172  val=6.6357
  [L-BFGS] Epoch 025  train=0.0172  val=6.6357
  [L-BFGS] Epoch 026  train=0.0172  val=6.6357
  [L-BFGS] Epoch 027  train=0.0172  val=6.6357
  [L-BFGS] Epoch 028  train=0.0172  val=6.6357
  [L-BFGS] Epoch 029  train=0.0172  val=6.6357
  [L-BFGS] Epoch 030  train=0.0172  val=6.6357
  [L-BFGS] Epoch 031  train=0.0172  val=6.6357
  [L-BFGS] Epoch 032  train=0.0172  val=6.6357
  [L-BFGS] Epoch 033  train=0.0172  val=6.6357
  [L-BFGS] Epoch 034  train=0.0172  val=6.6357
  [L-BFGS] Epoch 035  train=0.0172  val=6.6357
  [L-BFGS] Epoch 036  train=0.0172  val=6.6357
  [L-BFGS] Epoch 037  train=0.0172  val=6.6357
  [L-BFGS] Epoch 038  train=0.0172  val=6.6357
  [L-BFGS] Epoch 039  train=0.0172  val=6.6357
  [L-BFGS] Epoch 040  train=0.0172  val=6.6357
  [L-BFGS] Epoch 041  train=0.0172  val=6.6357
  [L-BFGS] Epoch 042  train=0.0172  val=6.6357
  [L-BFGS] Epoch 043  train=0.0172  val=6.6357
  [L-BFGS] Epoch 044  train=0.0172  val=6.6357
  [L-BFGS] Epoch 045  train=0.0172  val=6.6357
  [L-BFGS] Epoch 046  train=0.0172  val=6.6357
  [L-BFGS] Epoch 047  train=0.0172  val=6.6357
  [L-BFGS] Epoch 048  train=0.0172  val=6.6357
  [L-BFGS] Epoch 049  train=0.0172  val=6.6357
  [L-BFGS] Epoch 050  train=0.0172  val=6.6357

=== Optimiser Summary ===
 model_name  accuracy  precision   recall       f1
       adam  0.840580   0.813333 0.884058 0.847222
      lbfgs  0.782609   0.809524 0.739130 0.772727
        sgd  0.746377   0.723684 0.797101 0.758621
nelder_mead  0.485507   0.491525 0.840580 0.620321
