mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__kernel,param_clf__gamma,param_clf__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
8.382766008377075,0.0,0.19826745986938477,0.0,linear,scale,0.1,"{'clf__kernel': 'linear', 'clf__gamma': 'scale', 'clf__C': 0.1}",0.8101587301587301,0.8101587301587301,0.0,1
10.50595235824585,0.0,0.0921485424041748,0.0,rbf,scale,25.0,"{'clf__kernel': 'rbf', 'clf__gamma': 'scale', 'clf__C': 25.0}",0.780952380952381,0.780952380952381,0.0,6
8.859423637390137,0.0,0.22297310829162598,0.0,rbf,auto,10.0,"{'clf__kernel': 'rbf', 'clf__gamma': 'auto', 'clf__C': 10.0}",0.780952380952381,0.780952380952381,0.0,6
8.791908264160156,0.0,0.2552194595336914,0.0,rbf,scale,0.1,"{'clf__kernel': 'rbf', 'clf__gamma': 'scale', 'clf__C': 0.1}",0.33653846153846156,0.33653846153846156,0.0,11
8.188367128372192,0.0,0.12534570693969727,0.0,linear,scale,5.0,"{'clf__kernel': 'linear', 'clf__gamma': 'scale', 'clf__C': 5.0}",0.8101587301587301,0.8101587301587301,0.0,1
9.023420810699463,0.0,0.20915651321411133,0.0,rbf,scale,1.0,"{'clf__kernel': 'rbf', 'clf__gamma': 'scale', 'clf__C': 1.0}",0.7364176570458405,0.7364176570458405,0.0,10
10.836846590042114,0.0,0.11556816101074219,0.0,rbf,auto,5.0,"{'clf__kernel': 'rbf', 'clf__gamma': 'auto', 'clf__C': 5.0}",0.780952380952381,0.780952380952381,0.0,6
10.314625024795532,0.0,0.1328730583190918,0.0,rbf,auto,0.1,"{'clf__kernel': 'rbf', 'clf__gamma': 'auto', 'clf__C': 0.1}",0.33653846153846156,0.33653846153846156,0.0,11
9.540332555770874,0.0,0.09014558792114258,0.0,linear,auto,25.0,"{'clf__kernel': 'linear', 'clf__gamma': 'auto', 'clf__C': 25.0}",0.8101587301587301,0.8101587301587301,0.0,1
8.967775344848633,0.0,0.13151121139526367,0.0,linear,scale,25.0,"{'clf__kernel': 'linear', 'clf__gamma': 'scale', 'clf__C': 25.0}",0.8101587301587301,0.8101587301587301,0.0,1
9.342416763305664,0.0,0.16583728790283203,0.0,rbf,scale,10.0,"{'clf__kernel': 'rbf', 'clf__gamma': 'scale', 'clf__C': 10.0}",0.780952380952381,0.780952380952381,0.0,6
8.198851585388184,0.0,0.19172000885009766,0.0,linear,auto,0.1,"{'clf__kernel': 'linear', 'clf__gamma': 'auto', 'clf__C': 0.1}",0.8101587301587301,0.8101587301587301,0.0,1
