train_loss,val_loss,train_acc,val_acc
0.5655782055225431,0.4843117011630017,0.6853002070393375,0.7971014492753623
0.39108598997380667,0.3108151669519535,0.8240165631469979,0.8840579710144928
0.39594108890549246,0.2826658038125522,0.8343685300207039,0.8985507246376812
0.3683107599893712,0.21145618976890176,0.8364389233954451,0.9420289855072463
0.28232780968920784,0.26863875380460767,0.8902691511387164,0.9130434782608695
0.29710026026759334,0.3009227436521779,0.8799171842650103,0.8840579710144928
0.3257346995498823,0.17798950965853705,0.8612836438923396,0.9565217391304348
0.2806379545796238,0.20976567009220953,0.8923395445134575,0.9855072463768116
0.23413346741757285,0.19182219086349875,0.9109730848861284,0.9565217391304348
0.2546635223533303,0.23859756191571554,0.8923395445134575,0.9420289855072463
0.26777141533529786,0.17800835120505182,0.8902691511387164,0.9855072463768116
0.2281108576318492,0.17470032710959946,0.9192546583850931,0.9710144927536232
0.23300380012170868,0.18771326066791147,0.9026915113871635,0.9565217391304348
0.26633837800588667,0.13462500446948453,0.8902691511387164,0.9855072463768116
0.27772211004241404,0.15001280433025913,0.8881987577639752,0.9710144927536232
0.23949353739341595,0.14668744953646176,0.9130434782608695,1.0
0.22334788022389324,0.1489781447942706,0.917184265010352,0.9855072463768116
0.23705919932257807,0.16233368088369785,0.9192546583850931,1.0
0.23426130362333225,0.1473024065295855,0.9151138716356108,0.9855072463768116
0.23001412723375403,0.1216198060175647,0.9109730848861284,1.0
0.25714532781091537,0.12418346128601959,0.8757763975155279,1.0
0.23679533927830604,0.1260677596581155,0.9047619047619048,1.0
0.21750356630262133,0.12420309205418048,0.917184265010352,1.0
0.20820194661740685,0.1274638868112495,0.9192546583850931,1.0
0.21352006596808107,0.1125989567110504,0.9254658385093167,1.0
0.2332555172004685,0.11933681196060733,0.9151138716356108,1.0
0.24187205549846277,0.12646883661332337,0.906832298136646,1.0
0.23701612105280717,0.1180189209787742,0.9089026915113871,1.0
0.19945247634844257,0.13220704066148703,0.9192546583850931,1.0
0.2096972571334977,0.15006300504656805,0.9151138716356108,0.9710144927536232
