mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate_init,param_clf__hidden_layer_sizes,param_clf__alpha,param_clf__activation,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
4.7385687828063965,0.0,0.00941610336303711,0.0,0.0005,"(256,)",1e-05,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256,), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",0.8543074324324325,0.8543074324324325,0.0,1
3.83552885055542,0.0,0.0062503814697265625,0.0,0.001,"(128,)",0.001,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.7051282051282051,0.7051282051282051,0.0,10
5.939982652664185,0.0,0.005245208740234375,0.0,0.0001,"(128, 64)",0.0001,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.723709167544784,0.723709167544784,0.0,6
4.151088714599609,0.0,0.00548553466796875,0.0,0.0001,"(128,)",1e-05,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",0.7095959595959596,0.7095959595959596,0.0,7
5.852590322494507,0.0,0.006814479827880859,0.0,0.0005,"(256,)",0.001,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256,), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.8543074324324325,0.8543074324324325,0.0,1
3.8057239055633545,0.0,0.009162425994873047,0.0,0.001,"(128,)",0.0001,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.7051282051282051,0.7051282051282051,0.0,10
5.2059290409088135,0.0,0.008029699325561523,0.0,0.0005,"(256, 128)",1e-05,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 1e-05, 'clf__activation': 'relu'}",0.7918103448275862,0.7918103448275862,0.0,4
4.379780292510986,0.0,0.010522127151489258,0.0,0.0005,"(256, 128)",0.001,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.7246376811594203,0.7246376811594203,0.0,5
3.318735361099243,0.0,0.007620811462402344,0.0,0.0001,"(128,)",0.0001,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128,), 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.7095959595959596,0.7095959595959596,0.0,7
4.1606714725494385,0.0,0.007653713226318359,0.0,0.0001,"(128, 64)",0.0001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.0001, 'clf__activation': 'tanh'}",0.7086148648648649,0.7086148648648649,0.0,9
6.228298664093018,0.0,0.0067596435546875,0.0,0.001,"(256, 128)",1e-05,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (256, 128), 'clf__alpha': 1e-05, 'clf__activation': 'tanh'}",0.7935897435897437,0.7935897435897437,0.0,3
4.900434732437134,0.0,0.006020069122314453,0.0,0.0005,"(128, 64)",0.001,relu,"{'clf__learning_rate_init': 0.0005, 'clf__hidden_layer_sizes': (128, 64), 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.6794763513513513,0.6794763513513513,0.0,12
