model_name,accuracy,precision,recall,f1,category
yolo26n_cls,0.97826087474823,,,0.97826087474823,YOLO (pretrained)
mobilenet_gelu,0.9492753623188406,0.9305555555555556,0.9710144927536232,0.9503546099290779,MobileNetV2 (fine-tuned)
mlp_random_search,0.9347826086956522,0.9166666666666666,0.9565217391304348,0.9361702127659574,MLP HParam Search
mobilenet_relu,0.927536231884058,0.9154929577464789,0.9420289855072463,0.9285714285714286,MobileNetV2 (fine-tuned)
mobilenet_selu,0.927536231884058,0.9154929577464789,0.9420289855072463,0.9285714285714286,MobileNetV2 (fine-tuned)
mobilenet_leaky_relu,0.9202898550724637,0.8918918918918919,0.9565217391304348,0.9230769230769231,MobileNetV2 (frozen)
mobilenet_leaky_relu,0.9202898550724637,0.8918918918918919,0.9565217391304348,0.9230769230769231,MobileNetV2 (fine-tuned)
mobilenet_relu,0.9130434782608695,0.88,0.9565217391304348,0.9166666666666666,MobileNetV2 (frozen)
mobilenet_gelu,0.9057971014492754,0.8888888888888888,0.927536231884058,0.9078014184397163,MobileNetV2 (frozen)
mobilenet_elu,0.8985507246376812,0.9230769230769231,0.8695652173913043,0.8955223880597014,MobileNetV2 (fine-tuned)
mobilenet_selu,0.8695652173913043,0.8311688311688312,0.927536231884058,0.8767123287671235,MobileNetV2 (frozen)
mobilenet_elu,0.8623188405797102,0.8048780487804879,0.9565217391304348,0.8741721854304637,MobileNetV2 (frozen)
hog_svm,0.8478260869565217,0.8,0.927536231884058,0.8590604026845637,Sklearn Baseline
hog_mlp,0.8405797101449275,0.7831325301204819,0.9420289855072463,0.8552631578947368,Sklearn Baseline
optim_adam,0.8405797101449275,0.8133333333333334,0.8840579710144928,0.8472222222222223,Optimiser Comparison
optim_lbfgs,0.782608695652174,0.8095238095238095,0.7391304347826086,0.7727272727272727,Optimiser Comparison
optim_sgd,0.7463768115942029,0.7236842105263158,0.7971014492753623,0.7586206896551724,Optimiser Comparison
cnn_gelu,0.6231884057971014,0.5702479338842975,1.0,0.7263157894736841,CNN Scratch
cnn_selu,0.6159420289855072,0.5655737704918032,1.0,0.7225130890052355,CNN Scratch
cnn_leaky_relu,0.5507246376811594,0.5267175572519084,1.0,0.6900000000000001,CNN Scratch
cnn_relu,0.5362318840579711,0.518796992481203,1.0,0.6831683168316832,CNN Scratch
cnn_elu,0.5362318840579711,0.518796992481203,1.0,0.6831683168316832,CNN Scratch
optim_nelder_mead,0.4855072463768116,0.4915254237288136,0.8405797101449275,0.6203208556149732,Optimiser Comparison
