model_name,accuracy,precision,recall,f1,top5,fitness
mlp_random_search,0.9347826086956522,0.9166666666666666,0.9565217391304348,0.9361702127659574,,
hog_svm,0.8478260869565217,0.8,0.927536231884058,0.8590604026845637,,
hog_mlp,0.8405797101449275,0.7831325301204819,0.9420289855072465,0.8552631578947368,,
cnn_gelu,0.6231884057971014,0.5702479338842975,1.0,0.7263157894736841,,
cnn_selu,0.6159420289855072,0.5655737704918032,1.0,0.7225130890052355,,
cnn_leaky_relu,0.5507246376811594,0.5267175572519084,1.0,0.6900000000000001,,
cnn_relu,0.5362318840579711,0.518796992481203,1.0,0.6831683168316832,,
cnn_elu,0.5362318840579711,0.518796992481203,1.0,0.6831683168316832,,
yolo26n-cls.pt,0.97826087474823,,,,1.0,0.989130437374115
