,precision,recall,f1-score,support
defect,1.0,0.07246376811594203,0.13513513513513514,69.0
non_defect,0.518796992481203,1.0,0.6831683168316832,69.0
accuracy,0.5362318840579711,0.5362318840579711,0.5362318840579711,0.5362318840579711
macro avg,0.7593984962406015,0.5362318840579711,0.4091517259834092,138.0
weighted avg,0.7593984962406015,0.5362318840579711,0.40915172598340915,138.0
