hidden_sizes,activation,dropout,lr,best_val_loss
"(256, 128)",gelu,0.0,0.0003,0.08609279895714228
"(128,)",gelu,0.0,0.0003,0.09497253979434786
"(256,)",elu,0.4,0.001,0.10013271149490839
"(256,)",relu,0.0,0.0001,0.10136153214219687
"(128,)",relu,0.0,0.001,0.1019094428115025
"(128, 64)",gelu,0.2,0.001,0.10353608505017516
"(256,)",relu,0.4,0.0001,0.10461753099292949
"(256,)",gelu,0.4,0.0001,0.10487548232186532
"(256, 128)",elu,0.0,0.0003,0.10774618106475775
"(128, 64, 32)",selu,0.2,0.0001,0.1110093964236802
"(128,)",elu,0.2,0.0003,0.12430372178230596
"(128, 64, 32)",elu,0.4,0.0003,0.12642967028786306
"(256,)",selu,0.0,0.001,0.1306633294519523
"(128,)",gelu,0.4,0.0003,0.1318506261104367
"(128, 64)",gelu,0.2,0.0003,0.13958555611147397
"(256, 128)",elu,0.4,0.0001,0.1445180605557086
"(128,)",elu,0.4,0.0001,0.15792203894343929
"(128, 64, 32)",relu,0.2,0.001,0.15981018640424893
"(128, 64, 32)",gelu,0.4,0.0003,0.17232724149589954
"(256,)",selu,0.2,0.0001,0.17267280115165573
"(256, 128)",elu,0.0,0.001,0.17608038349873453
"(128, 64, 32)",gelu,0.4,0.001,0.19102598122064618
"(256,)",gelu,0.4,0.0003,0.19491516500441491
"(128,)",selu,0.2,0.0001,0.20179202251028325
