train_loss,val_loss
0.7863170497165703,1.1470007859710334
0.6160748223340289,0.9563253774591114
0.5045409048319357,0.9961427860501884
0.403031485544722,0.5339538091118785
0.3637711326157825,0.43726558508216473
0.3423799961867046,0.3763220703256303
0.29317386130615297,0.2571524173237275
0.2426294780974556,0.21386740777803503
0.2567591878506461,0.23931020109549814
0.23943930457097404,0.2835160153715507
0.27177573743567457,0.1543540004370869
0.24899367824597882,0.2195123174916143
0.20500044447541485,0.16653768599465274
0.1540557729624073,0.16344558042676552
0.13582362216081678,0.16920080581221028
0.13474997256421647,0.1191670445293404
0.12563129333975892,0.08609279895714228
0.11258981472525291,0.11443020951380764
0.10754993511653095,0.10908017536976199
0.10214639413430825,0.11516852736257124
0.12013753841382376,0.12137773476433063
0.11160790537701877,0.11439338952734851
