,precision,recall,f1-score,support
defect,0.9464285714285714,0.7681159420289855,0.848,69.0
non_defect,0.8048780487804879,0.9565217391304348,0.8741721854304636,69.0
accuracy,0.8623188405797102,0.8623188405797102,0.8623188405797102,0.8623188405797102
macro avg,0.8756533101045296,0.8623188405797102,0.8610860927152317,138.0
weighted avg,0.8756533101045297,0.8623188405797102,0.8610860927152318,138.0
