train_loss,val_loss,train_acc,val_acc
0.706243904481023,0.6979336142539978,0.4451345755693582,0.5072463768115942
0.694918660150058,0.6929203876550647,0.4824016563146998,0.5072463768115942
0.7027781399634067,0.6907320048498071,0.5113871635610766,0.5072463768115942
0.6888305099360937,0.6906938889752263,0.5548654244306418,0.5072463768115942
0.688094875703934,0.6855624058972234,0.5507246376811594,0.5362318840579711
0.6949704331394061,0.6844430030256078,0.5320910973084886,0.5362318840579711
0.7027975449157304,0.6868490905001543,0.4803312629399586,0.5797101449275363
0.6930198397942459,0.6886335179425668,0.5320910973084886,0.5217391304347826
0.6887816820085418,0.6812681002893309,0.5445134575569358,0.5652173913043478
0.7076101137737804,0.6852488880572112,0.4824016563146998,0.5652173913043478
0.6853046502385821,0.6835982410804086,0.5652173913043478,0.4782608695652174
0.695223879986915,0.6836124814074972,0.5238095238095238,0.5942028985507246
0.6941331020299939,0.6829688911852629,0.5072463768115942,0.5652173913043478
