,precision,recall,f1-score,support
defect,1.0,0.10144927536231885,0.18421052631578946,69.0
non_defect,0.5267175572519084,1.0,0.69,69.0
accuracy,0.5507246376811594,0.5507246376811594,0.5507246376811594,0.5507246376811594
macro avg,0.7633587786259541,0.5507246376811594,0.4371052631578947,138.0
weighted avg,0.7633587786259541,0.5507246376811594,0.4371052631578947,138.0
