,precision,recall,f1-score,support
defect,1.0,0.782608695652174,0.8780487804878049,69.0
non_defect,0.8214285714285714,1.0,0.9019607843137255,69.0
accuracy,0.8913043478260869,0.8913043478260869,0.8913043478260869,0.8913043478260869
macro avg,0.9107142857142857,0.8913043478260869,0.8900047824007652,138.0
weighted avg,0.9107142857142856,0.8913043478260869,0.8900047824007651,138.0
