,precision,recall,f1-score,support
defect,0.9838709677419355,0.8840579710144928,0.9312977099236641,69.0
non_defect,0.8947368421052632,0.9855072463768116,0.9379310344827586,69.0
accuracy,0.9347826086956522,0.9347826086956522,0.9347826086956522,0.9347826086956522
macro avg,0.9393039049235994,0.9347826086956522,0.9346143722032114,138.0
weighted avg,0.9393039049235994,0.9347826086956522,0.9346143722032114,138.0
