train_loss,val_loss,train_acc,val_acc
0.5600997972192231,0.47519811037657916,0.6915113871635611,0.8260869565217391
0.3665041719287572,0.2962688924609751,0.8488612836438924,0.8840579710144928
0.3585202133680229,0.21039801836013794,0.8530020703933747,0.9855072463768116
0.3159050143807818,0.14173418607400812,0.8716356107660456,0.9855072463768116
0.22970264693471462,0.1477057912211487,0.9130434782608695,1.0
0.24080611052720444,0.2082744072312894,0.9130434782608695,0.9420289855072463
0.26247077257860274,0.11951086853725323,0.9089026915113871,0.9855072463768116
0.222333166046419,0.17543360936468927,0.9109730848861284,0.9855072463768116
0.17357404891008177,0.1289253211107807,0.9440993788819876,0.9855072463768116
0.18297407370423185,0.1632503545370655,0.9358178053830227,0.9710144927536232
0.20132079430495237,0.11707447339659152,0.9109730848861284,0.9855072463768116
0.17390127174602532,0.12973724888718646,0.9358178053830227,0.9710144927536232
0.1667404143490653,0.12933578849702643,0.9440993788819876,1.0
0.18940190017593572,0.07803980639015419,0.9316770186335404,0.9855072463768116
0.19315056481223175,0.1031056061603021,0.9254658385093167,0.9855072463768116
0.16574986232733874,0.0923642066941745,0.9420289855072463,0.9855072463768116
0.16462224716123958,0.08574148137932239,0.9461697722567288,1.0
0.15253368075589957,0.10629203937191894,0.9399585921325052,1.0
0.1796223195751755,0.08396852696719377,0.9337474120082816,1.0
0.1606339388999386,0.06735224060822224,0.9420289855072463,1.0
0.18398887721154508,0.06943853534218195,0.9233954451345756,1.0
0.17442625378476415,0.06746949115093204,0.9337474120082816,1.0
0.14872748107026576,0.08679507154485454,0.9358178053830227,1.0
0.1467595455500897,0.08110947313084119,0.9420289855072463,1.0
0.14454281527556742,0.0912456927092179,0.9399585921325052,1.0
0.15440945871806785,0.07918478181396706,0.9544513457556936,1.0
